case_id,source_project,source_type,command,executed,exit_code,error_class,failing_tests_count,source_contexts_count,severity,expected_severity,severity_match,route,expected_route,route_compatible,raw_log_lines,bundle_md_lines,handoff_artifacts_count,notes
skiloadlab_gha_missing_script_generate_provenance,skiloadlab,github_actions,gh run view 25018564514 --log-failed,false,,,,,,S3,,,codex_prompt,,,,,Clean archived CI path regression: .venv/bin/python cannot open scripts/generate-provenance.py. Log paths are repo/runner paths only.; documented_only_external_case
skiloadlab_local_cli_missing_input_files,skiloadlab,local_cli,python3 -m skiloadlab.cli.combine --in /tmp/skiloadlab_missing_input.csv --out /tmp/skiloadlab_should_not_exist.csv --report /tmp/skiloadlab_should_not_exist.json --alpha 0.5,false,,,,,,S4,,,local_suggestion,,,,,Safe offline synthetic missing-file case using only /tmp paths.; documented_only_external_case
slsa_verifier_missing_cosign_identity_env,slsa_verifier,local_shell,./scripts/verify_attestation.sh,false,,,,,,S3,,,local_suggestion,,,,,Clean single-line shell failure with obvious config root cause.; documented_only_external_case
slsa_verifier_missing_provenance_file,slsa_verifier,local_shell,env COSIGN_CERTIFICATE_IDENTITY=https://example.invalid/identity PROVENANCE_FILE=/tmp/errpilot-missing-provenance.json ./scripts/verify_attestation.sh sbom.json,false,,,,,,S3,,,codex_prompt,,,,,Uses dummy identity and synthetic /tmp path; failure is required evidence absent.; documented_only_external_case
slsa_verifier_generate_provenance_uninstalled_package,slsa_verifier,local_python,python3 ./generate-provenance.py --dist dist --output /tmp/errpilot-provenance.json,false,,,,,,S4,,,codex_prompt,,,,,Traceback/import-path case; output target is /tmp and failure occurs before write.; documented_only_external_case
errpilot_python_assertion_failure,ErrPilot,local_example,pytest examples/python_assertion_failure,true,1,AssertionError,1,1,2,S2,true,codex_or_aider_prompt,codex_prompt,true,21,107,1,In-repository reproducible pytest AssertionError example.; auto_runnable_local_example
errpilot_pytest_fixture_failure,ErrPilot,local_example,pytest examples/pytest_fixture_failure,true,1,FixtureError,1,1,4,S4,true,manual_plus_agent_investigation,manual_or_aider_prompt,true,21,103,1,In-repository reproducible missing pytest fixture example.; auto_runnable_local_example
errpilot_python_import_failure,ErrPilot,local_example,pytest examples/python_import_failure,true,2,ModuleNotFoundError,1,1,4,S4,true,manual_plus_agent_investigation,manual_or_aider_prompt,true,22,107,1,In-repository reproducible ModuleNotFoundError import failure example.; auto_runnable_local_example
errpilot_pytest_multi_failure,ErrPilot,local_example,pytest examples/pytest_multi_failure,true,1,AssertionError,2,1,3,S3,true,stronger_coding_agent_prompt,codex_prompt,true,32,119,1,In-repository reproducible two AssertionError pytest failure example.; auto_runnable_local_example
errpilot_missing_config_failure,ErrPilot,local_example,pytest examples/missing_config_failure,true,1,FileNotFoundError,1,1,4,S4,true,manual_plus_agent_investigation,manual_or_aider_prompt,true,66,159,1,In-repository reproducible missing required config file example.; auto_runnable_local_example
errpilot_python_type_error_failure,ErrPilot,local_example,pytest examples/python_type_error_failure,true,1,TypeError,1,1,2,S2,true,codex_or_aider_prompt,codex_prompt,true,29,115,1,In-repository reproducible local TypeError pytest failure example.; auto_runnable_local_example
